
### root completed   [full_n100_f2.0_main]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81              8.4    15.1    21.9    36.1    53.1    54.8    54.8    54.8
   letter lazy m2               0.8     8.2    13.7    25.6    30.2    30.6    30.6    30.6
   letter cap m2                0.0     0.0     0.0    26.1    30.6    30.6    30.6    30.6
   letter agent m2              0.9     9.1    15.4    33.5    60.5    66.3    66.3    66.3
   letter ceiling-only m2       8.3    14.5    20.0    28.1    30.4    30.6    30.6    30.6
   F mean                       3.8     8.4    13.0    25.8    57.2    66.3    66.3    66.3
   F p75                        3.0     6.7    15.6    23.4    54.0    66.1    66.3    66.3
   F p90                        0.0     8.1    13.4    23.7    51.0    66.1    66.3    66.3
   F p75 bundle                 0.2     1.7    10.7    22.8    54.3    66.1    66.3    66.3
   F p75 m1.5                   3.0     6.7    15.6    23.4    54.0    66.1    66.3    66.3
   F p75 m3                     3.0     6.7    15.6    23.4    54.0    66.1    66.3    66.3
   F p75 no-dynamic             3.0     6.8    15.6    23.5    54.0    66.1    66.3    66.3

### overspend past B per run   [full_n100_f2.0_main]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81             11.7    10.5     8.8     4.4     0.4     0.0     0.0     0.0
   letter lazy m2               1.1     1.4     1.9     1.5     0.1     0.0     0.0     0.0
   letter cap m2                0.0     0.0     0.0     1.6     0.1     0.0     0.0     0.0
   letter agent m2              1.1     1.4     2.0     1.9     0.5     0.0     0.0     0.0
   letter ceiling-only m2      11.7    10.5     8.3     4.3     0.2     0.0     0.0     0.0
   F mean                       0.0     0.1     1.0     0.5     0.1     0.0     0.0     0.0
   F p75                        0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0
   F p90                        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F p75 bundle                 0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F p75 m1.5                   0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0
   F p75 m3                     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0
   F p75 no-dynamic             0.0     0.1     0.0     0.1     0.0     0.0     0.0     0.0
