
### root completed   [lean_n150_f1.0_two_level]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   F2 A=3 sigma=0               2.0     5.0     9.7    15.6    19.3    19.7    19.7    19.7
   F2 A=3 floor=0               2.0     4.7     9.7    15.5    19.3    19.7    19.7    19.7
   F2 A=3 no-dynamic            1.7     5.7     9.1    14.8    19.2    19.7    19.7    19.7

### overspend past B per run   [lean_n150_f1.0_two_level]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81              5.2     2.8     1.8     0.6     0.0     0.0     0.0     0.0
   letter lazy m2               0.6     0.6     0.6     0.1     0.0     0.0     0.0     0.0
   F p75fit                     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F2 A=2.5                     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F2 A=3                       0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F2 A=4                       0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F2 A=3 no m                  0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F2 A=3 sigma=0               0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0
   F2 A=3 floor=0               0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0
   F2 A=3 no-dynamic            0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
