
### root completed   [full_n150_f1.0_two_level]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   F2 A=3 sigma=0               0.8     3.1     8.3    15.1    24.5    29.6    29.6    29.6
   F2 A=3 floor=0               0.7     2.9     7.9    15.3    24.8    29.6    29.6    29.6
   F2 A=3 no-dynamic            0.7     2.7     6.5    15.1    24.5    29.6    29.6    29.6

### overspend past B per run   [full_n150_f1.0_two_level]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81             11.7     9.5     5.9     1.9     0.5     0.0     0.0     0.0
   letter lazy m2               0.9     1.3     1.5     0.7     0.1     0.0     0.0     0.0
   F p75fit                     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F2 A=2.5                     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F2 A=3                       0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F2 A=4                       0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F2 A=3 no m                  0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F2 A=3 sigma=0               0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F2 A=3 floor=0               0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F2 A=3 no-dynamic            0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
