
### root completed   [full_n100_f2.0_two_level]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   F2 A=3 sigma=0               3.6     7.0    16.3    22.9    48.5    54.8    54.8    54.8
   F2 A=3 floor=0               3.0     6.7    15.6    22.5    48.1    54.8    54.8    54.8
   F2 A=3 no-dynamic            3.0     9.8    14.9    21.6    47.5    54.8    54.8    54.8

### overspend past B per run   [full_n100_f2.0_two_level]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81             11.7    10.5     8.8     4.4     0.4     0.0     0.0     0.0
   letter lazy m2               1.1     1.4     1.9     1.5     0.1     0.0     0.0     0.0
   F p75fit                     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F2 A=2.5                     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F2 A=3                       0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F2 A=4                       0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F2 A=3 no m                  0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F2 A=3 sigma=0               0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0
   F2 A=3 floor=0               0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0
   F2 A=3 no-dynamic            0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
