
### root completed   [full_n150_f1.0]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81              4.4     8.3    13.1    20.8    27.4    29.6    29.6    29.6
   letter lazy m2               0.4     3.6     8.2    12.6    15.4    15.7    15.7    15.7
   letter cap m2                0.0     0.0     0.0    13.8    16.1    16.7    16.7    16.7
   letter agent m2              0.4     3.7     9.7    20.5    29.8    34.0    34.0    34.0
   letter ceiling-only m2       4.4     8.0    10.8    13.9    15.6    15.7    15.7    15.7
   F mean                       0.8     3.7     7.2    15.8    28.3    34.0    34.0    34.0
   F p75                        0.7     2.9     7.2    15.4    28.0    34.0    34.0    34.0
   F p90                        0.0     2.2     5.8    15.9    28.9    34.0    34.0    34.0
   F p75 bundle                 0.8     2.0     6.4    14.2    27.4    34.0    34.0    34.0
   F p75 m1.5                   0.7     2.9     7.2    15.4    28.0    34.0    34.0    34.0
   F p75 m3                     0.7     2.9     7.2    15.4    28.0    34.0    34.0    34.0
   F p75 no-dynamic             0.7     2.9     7.2    15.4    28.0    34.0    34.0    34.0

### overspend past B per run   [full_n150_f1.0]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81             11.7     9.5     5.9     1.9     0.5     0.0     0.0     0.0
   letter lazy m2               0.9     1.3     1.5     0.7     0.1     0.0     0.0     0.0
   letter cap m2                0.0     0.0     0.0     0.7     0.2     0.0     0.0     0.0
   letter agent m2              0.9     1.3     1.6     1.1     0.3     0.0     0.0     0.0
   letter ceiling-only m2      11.7     9.4     5.9     1.4     0.2     0.0     0.0     0.0
   F mean                       0.1     0.2     0.7     0.2     0.1     0.0     0.0     0.0
   F p75                        0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F p90                        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F p75 bundle                 0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F p75 m1.5                   0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F p75 m3                     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F p75 no-dynamic             0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
