
### root completed   [lean_n150_f1.0]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81              5.0     9.8    14.1    19.1    22.4    22.5    22.5    22.5
   letter lazy m2               2.4     5.5     7.9     9.7    10.1    10.1    10.1    10.1
   letter cap m2                0.0     0.0     8.4     9.6    10.9    10.9    10.9    10.9
   letter agent m2              2.4     7.5    12.5    18.2    22.4    22.5    22.5    22.5
   letter ceiling-only m2       4.9     7.4     8.9     9.8    10.1    10.1    10.1    10.1
   F mean                       1.8     5.7     9.6    17.2    22.4    22.5    22.5    22.5
   F p75                        1.9     4.3     9.5    17.1    21.9    22.5    22.5    22.5
   F p90                        1.4     5.0    10.7    16.1    21.9    22.5    22.5    22.5
   F p75 bundle                 1.6     3.0     7.4    16.8    21.9    22.5    22.5    22.5
   F p75 m1.5                   1.9     4.3     9.5    17.1    22.1    22.5    22.5    22.5
   F p75 m3                     1.9     4.3     9.5    17.1    21.9    22.5    22.5    22.5
   F p75 no-dynamic             1.9     4.3     9.5    17.1    21.9    22.5    22.5    22.5

### overspend past B per run   [lean_n150_f1.0]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81              5.2     2.8     1.8     0.6     0.0     0.0     0.0     0.0
   letter lazy m2               0.6     0.6     0.6     0.1     0.0     0.0     0.0     0.0
   letter cap m2                0.0     0.0     0.6     0.1     0.0     0.0     0.0     0.0
   letter agent m2              0.6     0.7     0.8     0.3     0.0     0.0     0.0     0.0
   letter ceiling-only m2       5.2     2.6     1.2     0.3     0.0     0.0     0.0     0.0
   F mean                       0.2     0.3     0.1     0.0     0.0     0.0     0.0     0.0
   F p75                        0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0
   F p90                        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F p75 bundle                 0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   F p75 m1.5                   0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0
   F p75 m3                     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0
   F p75 no-dynamic             0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0
